symbol,spelling,system
가,ga,hanguel
개,gya,hanguel
갸,geo,hanguel
걔,gyeo,hanguel
거,go,hanguel
게,gyo,hanguel
겨,gu,hanguel
계,gyu,hanguel
고,geu,hanguel
과,gi,hanguel
괘,gae,hanguel
괴,gyae,hanguel
교,ge,hanguel
구,gye,hanguel
궈,gwa,hanguel
궤,gwae,hanguel
귀,goe,hanguel
규,gwo,hanguel
그,gwe,hanguel
긔,gwi,hanguel
기,gui,hanguel
까,na,hanguel
깨,nya,hanguel
꺄,neo,hanguel
꺠,nyeo,hanguel
꺼,no,hanguel
께,nyo,hanguel
껴,nu,hanguel
꼐,nyu,hanguel
꼬,neu,hanguel
꽈,ni,hanguel
꽤,nae,hanguel
꾀,nyae,hanguel
꾜,ne,hanguel
꾸,nye,hanguel
꿔,nwa,hanguel
꿰,nwae,hanguel
뀌,noe,hanguel
뀨,nwo,hanguel
끄,nwe,hanguel
끠,nwi,hanguel
끼,nui,hanguel
나,da,hanguel
내,dya,hanguel
냐,deo,hanguel
냬,dyeo,hanguel
너,do,hanguel
네,dyo,hanguel
녀,du,hanguel
녜,dyu,hanguel
노,deu,hanguel
놔,di,hanguel
놰,dae,hanguel
뇌,dyae,hanguel
뇨,de,hanguel
누,dye,hanguel
눠,dwa,hanguel
눼,dwae,hanguel
뉘,doe,hanguel
뉴,dwo,hanguel
느,dwe,hanguel
늬,dwi,hanguel
니,dui,hanguel
다,ra,hanguel
대,rya,hanguel
댜,reo,hanguel
댸,ryeo,hanguel
더,ro,hanguel
데,ryo,hanguel
뎌,ru,hanguel
뎨,ryu,hanguel
도,reu,hanguel
돠,ri,hanguel
돼,rae,hanguel
되,ryae,hanguel
됴,re,hanguel
두,rye,hanguel
둬,rwa,hanguel
뒈,rwae,hanguel
뒤,roe,hanguel
듀,rwo,hanguel
드,rwe,hanguel
듸,rwi,hanguel
디,rui,hanguel
따,ma,hanguel
때,mya,hanguel
땨,meo,hanguel
떄,myeo,hanguel
떠,mo,hanguel
떼,myo,hanguel
뗘,mu,hanguel
뗴,myu,hanguel
또,meu,hanguel
똬,mi,hanguel
뙈,mae,hanguel
뙤,myae,hanguel
뚀,me,hanguel
뚜,mye,hanguel
뚸,mwa,hanguel
뛔,mwae,hanguel
뛰,moe,hanguel
뜌,mwo,hanguel
뜨,mwe,hanguel
띄,mwi,hanguel
띠,mui,hanguel
라,ba,hanguel
래,bya,hanguel
랴,beo,hanguel
럐,byeo,hanguel
러,bo,hanguel
레,byo,hanguel
려,bu,hanguel
례,byu,hanguel
로,beu,hanguel
롸,bi,hanguel
뢔,bae,hanguel
뢰,byae,hanguel
료,be,hanguel
루,bye,hanguel
뤄,bwa,hanguel
뤠,bwae,hanguel
뤼,boe,hanguel
류,bwo,hanguel
르,bwe,hanguel
릐,bwi,hanguel
리,bui,hanguel
마,sa,hanguel
매,sya,hanguel
먀,seo,hanguel
먜,syeo,hanguel
머,so,hanguel
메,syo,hanguel
며,su,hanguel
몌,syu,hanguel
모,seu,hanguel
뫄,si,hanguel
뫠,sae,hanguel
뫼,syae,hanguel
묘,se,hanguel
무,sye,hanguel
뭐,swa,hanguel
뭬,swae,hanguel
뮈,soe,hanguel
뮤,swo,hanguel
므,swe,hanguel
믜,swi,hanguel
미,sui,hanguel
바,a,hanguel
배,ya,hanguel
뱌,eo,hanguel
뱨,yeo,hanguel
버,o,hanguel
베,yo,hanguel
벼,u,hanguel
볘,yu,hanguel
보,eu,hanguel
봐,i,hanguel
봬,ae,hanguel
뵈,yae,hanguel
뵤,e,hanguel
부,ye,hanguel
붜,wa,hanguel
붸,wae,hanguel
뷔,oe,hanguel
뷰,wo,hanguel
브,we,hanguel
븨,wi,hanguel
비,ui,hanguel
빠,ja,hanguel
빼,jya,hanguel
뺘,jeo,hanguel
뺴,jyeo,hanguel
뻐,jo,hanguel
뻬,jyo,hanguel
뼈,ju,hanguel
뼤,jyu,hanguel
뽀,jeu,hanguel
뽜,ji,hanguel
뽸,jae,hanguel
뾔,jyae,hanguel
뾰,je,hanguel
뿌,jye,hanguel
뿨,jwa,hanguel
쀄,jwae,hanguel
쀠,joe,hanguel
쀼,jwo,hanguel
쁘,jwe,hanguel
쁴,jwi,hanguel
삐,jui,hanguel
사,cha,hanguel
새,chya,hanguel
샤,cheo,hanguel
섀,chyeo,hanguel
서,cho,hanguel
세,chyo,hanguel
셔,chu,hanguel
셰,chyu,hanguel
소,cheu,hanguel
솨,chi,hanguel
쇄,chae,hanguel
쇠,chyae,hanguel
쇼,che,hanguel
수,chye,hanguel
숴,chwa,hanguel
쉐,chwae,hanguel
쉬,choe,hanguel
슈,chwo,hanguel
스,chwe,hanguel
싀,chwi,hanguel
시,chui,hanguel
싸,ka,hanguel
쌔,kya,hanguel
쌰,keo,hanguel
썌,kyeo,hanguel
써,ko,hanguel
쎄,kyo,hanguel
쎠,ku,hanguel
쎼,kyu,hanguel
쏘,keu,hanguel
쏴,ki,hanguel
쐐,kae,hanguel
쐬,kyae,hanguel
쑈,ke,hanguel
쑤,kye,hanguel
쒀,kwa,hanguel
쒜,kwae,hanguel
쒸,koe,hanguel
쓔,kwo,hanguel
쓰,kwe,hanguel
씌,kwi,hanguel
씨,kui,hanguel
아,ta,hanguel
애,tya,hanguel
야,teo,hanguel
얘,tyeo,hanguel
어,to,hanguel
에,tyo,hanguel
여,tu,hanguel
예,tyu,hanguel
오,teu,hanguel
와,ti,hanguel
왜,tae,hanguel
외,tyae,hanguel
요,te,hanguel
우,tye,hanguel
워,twa,hanguel
웨,twae,hanguel
위,toe,hanguel
유,two,hanguel
으,twe,hanguel
의,twi,hanguel
이,tui,hanguel
자,pa,hanguel
재,pya,hanguel
쟈,peo,hanguel
쟤,pyeo,hanguel
저,po,hanguel
제,pyo,hanguel
져,pu,hanguel
졔,pyu,hanguel
조,peu,hanguel
좌,pi,hanguel
좨,pae,hanguel
죄,pyae,hanguel
죠,pe,hanguel
주,pye,hanguel
줘,pwa,hanguel
줴,pwae,hanguel
쥐,poe,hanguel
쥬,pwo,hanguel
즈,pwe,hanguel
즤,pwi,hanguel
지,pui,hanguel
짜,ha,hanguel
째,hya,hanguel
쨔,heo,hanguel
쨰,hyeo,hanguel
쩌,ho,hanguel
쩨,hyo,hanguel
쪄,hu,hanguel
쪠,hyu,hanguel
쪼,heu,hanguel
쫘,hi,hanguel
쫴,hae,hanguel
쬐,hyae,hanguel
쬬,he,hanguel
쭈,hye,hanguel
쭤,hwa,hanguel
쮀,hwae,hanguel
쮜,hoe,hanguel
쮸,hwo,hanguel
쯔,hwe,hanguel
쯰,hwi,hanguel
찌,hui,hanguel
차,kka,hanguel
채,kkya,hanguel
챠,kkeo,hanguel
챼,kkyeo,hanguel
처,kko,hanguel
체,kkyo,hanguel
쳐,kku,hanguel
쳬,kkyu,hanguel
초,kkeu,hanguel
촤,kki,hanguel
쵀,kkae,hanguel
최,kkyae,hanguel
쵸,kke,hanguel
추,kkye,hanguel
춰,kkwa,hanguel
췌,kkwae,hanguel
취,kkoe,hanguel
츄,kkwo,hanguel
츠,kkwe,hanguel
츼,kkwi,hanguel
치,kkui,hanguel
카,tta,hanguel
캐,ttya,hanguel
캬,tteo,hanguel
컈,ttyeo,hanguel
커,tto,hanguel
케,ttyo,hanguel
켜,ttu,hanguel
켸,ttyu,hanguel
코,tteu,hanguel
콰,tti,hanguel
쾌,ttae,hanguel
쾨,ttyae,hanguel
쿄,tte,hanguel
쿠,ttye,hanguel
쿼,ttwa,hanguel
퀘,ttwae,hanguel
퀴,ttoe,hanguel
큐,ttwo,hanguel
크,ttwe,hanguel
킈,ttwi,hanguel
키,ttui,hanguel
타,ppa,hanguel
태,ppya,hanguel
탸,ppeo,hanguel
턔,ppyeo,hanguel
터,ppo,hanguel
테,ppyo,hanguel
텨,ppu,hanguel
톄,ppyu,hanguel
토,ppeu,hanguel
톼,ppi,hanguel
퇘,ppae,hanguel
퇴,ppyae,hanguel
툐,ppe,hanguel
투,ppye,hanguel
퉈,ppwa,hanguel
퉤,ppwae,hanguel
튀,ppoe,hanguel
튜,ppwo,hanguel
트,ppwe,hanguel
틔,ppwi,hanguel
티,ppui,hanguel
파,ssa,hanguel
패,ssya,hanguel
퍄,sseo,hanguel
퍠,ssyeo,hanguel
퍼,sso,hanguel
페,ssyo,hanguel
펴,ssu,hanguel
폐,ssyu,hanguel
포,sseu,hanguel
퐈,ssi,hanguel
퐤,ssae,hanguel
푀,ssyae,hanguel
표,sse,hanguel
푸,ssye,hanguel
풔,sswa,hanguel
풰,sswae,hanguel
퓌,ssoe,hanguel
퓨,sswo,hanguel
프,sswe,hanguel
픠,sswi,hanguel
피,ssui,hanguel
하,jja,hanguel
해,jjya,hanguel
햐,jjeo,hanguel
햬,jjyeo,hanguel
허,jjo,hanguel
헤,jjyo,hanguel
혀,jju,hanguel
혜,jjyu,hanguel
호,jjeu,hanguel
화,jji,hanguel
홰,jjae,hanguel
회,jjyae,hanguel
효,jje,hanguel
후,jjye,hanguel
훠,jjwa,hanguel
훼,jjwae,hanguel
휘,jjoe,hanguel
휴,jjwo,hanguel
흐,jjwe,hanguel
희,jjwi,hanguel
히,jjui,hanguel
